TABLE:users
COLUMN:id:STRING
COLUMN:name:STRING
COLUMN:age:INTEGER
ROW:1,John,30
ROW:2,Jane,25
TABLE:orders
COLUMN:id:INTEGER
COLUMN:product_id:INTEGER
COLUMN:quantity:INTEGER
ROW:1,1,10
ROW:2,2,15
TABLE:large_data
COLUMN:id:INTEGER
COLUMN:value:STRING
ROW:0,value_0
ROW:1,value_1
ROW:2,value_2
ROW:3,value_3
ROW:4,value_4
ROW:5,value_5
ROW:6,value_6
ROW:7,value_7
ROW:8,value_8
ROW:9,value_9
ROW:10,value_10
ROW:11,value_11
ROW:12,value_12
ROW:13,value_13
ROW:14,value_14
ROW:15,value_15
ROW:16,value_16
ROW:17,value_17
ROW:18,value_18
ROW:19,value_19
ROW:20,value_20
ROW:21,value_21
ROW:22,value_22
ROW:23,value_23
ROW:24,value_24
ROW:25,value_25
ROW:26,value_26
ROW:27,value_27
ROW:28,value_28
ROW:29,value_29
ROW:30,value_30
ROW:31,value_31
ROW:32,value_32
ROW:33,value_33
ROW:34,value_34
ROW:35,value_35
ROW:36,value_36
ROW:37,value_37
ROW:38,value_38
ROW:39,value_39
ROW:40,value_40
ROW:41,value_41
ROW:42,value_42
ROW:43,value_43
ROW:44,value_44
ROW:45,value_45
ROW:46,value_46
ROW:47,value_47
ROW:48,value_48
ROW:49,value_49
ROW:50,value_50
ROW:51,value_51
ROW:52,value_52
ROW:53,value_53
ROW:54,value_54
ROW:55,value_55
ROW:56,value_56
ROW:57,value_57
ROW:58,value_58
ROW:59,value_59
ROW:60,value_60
ROW:61,value_61
ROW:62,value_62
ROW:63,value_63
ROW:64,value_64
ROW:65,value_65
ROW:66,value_66
ROW:67,value_67
ROW:68,value_68
ROW:69,value_69
ROW:70,value_70
ROW:71,value_71
ROW:72,value_72
ROW:73,value_73
ROW:74,value_74
ROW:75,value_75
ROW:76,value_76
ROW:77,value_77
ROW:78,value_78
ROW:79,value_79
ROW:80,value_80
ROW:81,value_81
ROW:82,value_82
ROW:83,value_83
ROW:84,value_84
ROW:85,value_85
ROW:86,value_86
ROW:87,value_87
ROW:88,value_88
ROW:89,value_89
ROW:90,value_90
ROW:91,value_91
ROW:92,value_92
ROW:93,value_93
ROW:94,value_94
ROW:95,value_95
ROW:96,value_96
ROW:97,value_97
ROW:98,value_98
ROW:99,value_99
ROW:100,value_100
ROW:101,value_101
ROW:102,value_102
ROW:103,value_103
ROW:104,value_104
ROW:105,value_105
ROW:106,value_106
ROW:107,value_107
ROW:108,value_108
ROW:109,value_109
ROW:110,value_110
ROW:111,value_111
ROW:112,value_112
ROW:113,value_113
ROW:114,value_114
ROW:115,value_115
ROW:116,value_116
ROW:117,value_117
ROW:118,value_118
ROW:119,value_119
ROW:120,value_120
ROW:121,value_121
ROW:122,value_122
ROW:123,value_123
ROW:124,value_124
ROW:125,value_125
ROW:126,value_126
ROW:127,value_127
ROW:128,value_128
ROW:129,value_129
ROW:130,value_130
ROW:131,value_131
ROW:132,value_132
ROW:133,value_133
ROW:134,value_134
ROW:135,value_135
ROW:136,value_136
ROW:137,value_137
ROW:138,value_138
ROW:139,value_139
ROW:140,value_140
ROW:141,value_141
ROW:142,value_142
ROW:143,value_143
ROW:144,value_144
ROW:145,value_145
ROW:146,value_146
ROW:147,value_147
ROW:148,value_148
ROW:149,value_149
ROW:150,value_150
ROW:151,value_151
ROW:152,value_152
ROW:153,value_153
ROW:154,value_154
ROW:155,value_155
ROW:156,value_156
ROW:157,value_157
ROW:158,value_158
ROW:159,value_159
ROW:160,value_160
ROW:161,value_161
ROW:162,value_162
ROW:163,value_163
ROW:164,value_164
ROW:165,value_165
ROW:166,value_166
ROW:167,value_167
ROW:168,value_168
ROW:169,value_169
ROW:170,value_170
ROW:171,value_171
ROW:172,value_172
ROW:173,value_173
ROW:174,value_174
ROW:175,value_175
ROW:176,value_176
ROW:177,value_177
ROW:178,value_178
ROW:179,value_179
ROW:180,value_180
ROW:181,value_181
ROW:182,value_182
ROW:183,value_183
ROW:184,value_184
ROW:185,value_185
ROW:186,value_186
ROW:187,value_187
ROW:188,value_188
ROW:189,value_189
ROW:190,value_190
ROW:191,value_191
ROW:192,value_192
ROW:193,value_193
ROW:194,value_194
ROW:195,value_195
